fen,actions,H,U,HU,result
r3kbnr/p3p2p/6p1/1p1p1b2/8/2N1P3/PPPP1PPP/R1B1KB1R w KQkq - 2 8,5805,,0.005169267300516367,,0-1
r3kbnr/p3p2p/6p1/1p1p4/4N1b1/4P3/PPPP1PPP/R1B1KB1R w KQkq - 4 9,4195,,0.011204157024621964,,0-1
r3kbnr/p3p2p/6p1/1p1p4/8/4P3/PPPP2PP/R1B1KB1R w KQkq - 0 10,1735,,0.01013979036360979,,0-1
r3kb1r/p3p2p/5np1/3p4/8/4P3/PPPP2PP/R1B1K2R w KQkq - 1 11,1285,,0.0096588721498847,,0-1
2kr1b1r/p3p2p/5np1/3p4/8/4P3/PPPP2PP/R1B2RK1 w - - 3 12,4835,,0.008201693184673786,,0-1
2kr3r/p3p2p/5npb/3p4/8/4P2P/PPPP2P1/R1B2RK1 w - - 1 13,2915,,0.005734753329306841,,0-1
2k2r1r/p3p2p/5npb/3p4/8/1P2P2P/P1PP2P1/R1B2RK1 w - - 1 14,705,,0.005977397318929434,,0-1
2k2r1r/p3p2p/5np1/3p4/5b2/BP2P2P/P1PP2P1/R4RK1 w - - 3 15,5295,,0.005316984374076128,,0-1
2k2r2/p6p/6p1/3p4/5b2/1P2P2P/P1PP2P1/R4RK1 w - - 1 16,6440,,0.0058005936443805695,,0-1
2k5/p6p/6p1/3p4/8/1P5P/P1PP1rP1/R4RK1 w - - 1 17,1595,,0.006878381595015526,,0-1
2k5/p6p/6p1/3p4/8/1P5P/P1PP2P1/R3RrK1 w - - 3 18,1960,,0.003933384083211422,,0-1
2k5/p6p/6p1/3p4/8/1P5P/P1PP2PK/R3R2r w - - 5 19,4830,,0.0071057528257369995,,0-1
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,16920,0.3527347445487976,0.0027713938616216183,0.0009775669058232073,1-0
rnbqkbnr/ppppp1pp/5p2/8/8/2N2N2/PPPPPPPP/R1BQKB1R b KQkq - 1 2,19765,,0.0023833289742469788,,1-0
rnbqkb1r/ppppp1pp/5p1n/8/6P1/2N2N2/PPPPPP1P/R1BQKB1R b KQkq - 0 3,14955,,0.002665336010977626,,1-0
rnbqkb1r/ppppp1pp/5p2/8/4P3/2N5/PPPP1P1P/R1BQKB1R b KQkq - 0 4,16600,,0.0021041904110461473,,1-0
rnbqkb1r/pppp2pp/4pp2/1N6/4P3/8/PPPP1P1P/R1BQKB1R b KQkq - 1 5,19340,,0.002941543934866786,,1-0
rnbqk2r/pppp2pp/4pp2/1N6/1b2P3/2P5/PP1P1P1P/R1BQKB1R b KQkq - 0 6,17240,,0.0026976335793733597,,1-0
rnbqk2r/pppp3p/4ppp1/1N6/1b1PP3/2P5/PP3P1P/R1BQKB1R b KQkq - 0 7,15960,,0.004352828022092581,,1-0
rnbqk2r/ppNp3p/2p1ppp1/8/1b1PP3/2P5/PP3P1P/R1BQKB1R b KQkq - 1 8,19200,,0.008434517309069633,,1-0
rnbq1k1r/ppNp3p/2p1pppB/8/1b1PP3/2P5/PP3P1P/R2QKB1R b KQ - 3 9,19520,,0.009196801111102104,,1-0
rnbq2kr/ppNp2Bp/2p1ppp1/8/1b1PP3/2P5/PP3P1P/R2QKB1R b KQ - 5 10,17520,,0.012854001484811306,,1-0
rnbq2kr/ppNp2B1/2p1ppp1/7p/1b1PP2P/2P5/PP3P2/R2QKB1R b KQ - 0 11,20120,,0.011188564822077751,,1-0
rnbq2k1/ppNp2Br/2p1ppp1/7p/1b1PP2P/2P5/PP3P2/R2QKBR1 b Q - 2 12,16240,,0.004439683631062508,,1-0
rnbq2k1/ppN3Br/2p1ppp1/3p3p/1b1PP2P/2P4B/PP3P2/R2QK1R1 b Q - 1 13,14360,,0.0032612376380711794,,1-0
rnbq2k1/ppN3Br/2p1p1p1/3pPp1p/1b1P3P/2P4B/PP3P2/R2QK1R1 b Q - 0 14,14680,,0.0028860443271696568,,1-0
rnbq2k1/ppN3Br/2p1p3/3pP1pp/1b1P3P/2P5/PP3P2/R2QK1R1 b Q - 0 15,12120,,0.003563322126865387,,1-0
rnbq2k1/ppN3Br/2p1p3/3pP2p/1b1P1PpP/2P5/PP6/R2QK1R1 b Q f3 0 16,8040,,0.003971757832914591,,1-0
rnbq2k1/ppN3Br/2p1p3/2bpP2p/3P1PpP/2P5/PPQ5/R3K1R1 b Q - 2 17,18155,,0.004709620028734207,,1-0
r1bq2k1/ppN3Br/n1p1p3/2bpP2p/1P1P1PpP/2P5/P1Q5/R3K1R1 b Q - 0 18,10845,,0.0037500811740756035,,1-0
r1bq2k1/ppN3Br/n1p1p3/3pPP1p/1P4pP/2P5/P1Q5/R3K1R1 b Q - 0 19,14045,,0.0034624473191797733,,1-0
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,1990,0.5787658095359802,0.005506695248186588,0.0031870869331846463,1-0
rnbqkbnr/ppppp1pp/5p2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2,400,,0.00623099273070693,,1-0
rnbqkb1r/ppppp1pp/5p1n/8/8/2N2N2/PPPPPPPP/R1BQKB1R w KQkq - 2 3,4555,,0.00877632386982441,,1-0
rnbqkb1r/ppppp1pp/5p2/8/8/2N5/PPPPPP1P/R1BQKB1R w KQkq - 0 4,3915,,0.007424621377140284,,1-0
rnbqkb1r/pppp2pp/4pp2/8/4P3/2N5/PPPP1P1P/R1BQKB1R w KQkq - 0 5,5830,,0.010020842775702477,,1-0
rnbqk2r/pppp2pp/4pp2/1N6/1b2P3/8/PPPP1P1P/R1BQKB1R w KQkq - 2 6,3235,,0.010146254673600197,,1-0
