fen,n,W,D,L,pW,pD,pL,mean_reward,reward_variance,result_entropy,ci95_low,ci95_high,ci95_width,ci_contains_zero,H_mean,U_mean,HU_mean,H_count,U_count,HU_count,H_fraction,U_fraction,HU_fraction
rnbqkb1r/pp1pp2p/2p2pp1/8/4P3/2N5/PPPP1PP1/R1BQKB1R w KQkq - 0 6,32,18,5,9,0.5625,0.15625,0.28125,0.28125,0.7646484375,1.4000745152068985,-0.021723053925817137,0.5842230539258171,0.6059461078516342,True,0.8175524870554606,0.013241571839898825,0.011053771825384473,3,32,3,0.09375,1.0,0.09375
rnbqk2r/pp1pp2p/2p2ppb/8/3PP3/2N5/PPP2PP1/R1BQKB1R w KQkq - 1 7,14,7,2,5,0.5,0.14285714285714285,0.35714285714285715,0.14285714285714285,0.8367346938775511,1.4315602842833155,-0.3362999943846659,0.6220142800989517,0.9583142744836175,True,0.9158862658909389,0.019196524284780025,0.01731827769302133,7,14,7,0.5,1.0,0.5
rnbqkbnr/pppp1ppp/4p3/6N1/8/8/PPPPPPPP/RNBQKB1R b KQkq - 1 2,10,5,0,5,0.5,0.0,0.5,0.0,1.0,1.0,-0.6197950323045616,0.6197950323045616,1.2395900646091231,True,0.4893007278442383,0.012264888919889926,0.004027176435888495,3,10,3,0.3,1.0,0.3
rnbqk2r/pp1p2pp/2p1pp1n/1N6/1b4P1/2P2N2/PP1PPP1P/R1BQKB1R w KQkq - 0 6,16,12,0,4,0.75,0.0,0.25,0.5,0.75,0.8112781244591328,0.07565534972143562,0.9243446502785644,0.8486893005571288,False,,0.013978244736790657,,0,16,0,0.0,1.0,0.0
rnbq1k1r/ppNp2pp/2p1pp1n/8/1b4P1/2P2N2/PP1PPP1P/R1BQKB1R w KQ - 2 7,15,11,0,4,0.7333333333333333,0.0,0.26666666666666666,0.4666666666666666,0.7822222222222223,0.8366407419411672,0.019089898182680476,0.9142434351506528,0.8951535369679723,False,,0.010244362521916628,,0,15,0,0.0,1.0,0.0
rnbqkbnr/pppp2pp/4pp2/1N6/8/8/PPPPPPPP/RNBQKB1R b KQkq - 1 3,15,9,2,4,0.6,0.13333333333333333,0.26666666666666666,0.3333333333333333,0.7555555555555555,1.3382689280764646,-0.10654813201942431,0.7732147986860909,0.8797629307055153,True,,0.01875840617964665,,0,15,0,0.0,1.0,0.0
rnbqk1nr/pppp2pp/4pp2/1N6/1b6/2P5/PP1PPPPP/RNBQKB1R b KQkq - 0 4,11,5,2,4,0.45454545454545453,0.18181818181818182,0.36363636363636365,0.09090909090909088,0.8099173553719008,1.4949188482339508,-0.44092001431744593,0.6227381961356278,1.0636582104530736,True,0.3648141920566559,0.025160982527516106,0.008516017576894408,1,11,1,0.09090909090909091,1.0,0.09090909090909091
rnbqkb1r/pp1pp3/2p2pp1/7p/3PP3/2N5/PPP2PP1/R1BQKB1R w KQkq - 0 7,13,9,4,0,0.6923076923076923,0.3076923076923077,0.0,0.6923076923076923,0.21301775147928997,0.8904916402194913,0.4414171368879808,0.9431982477274038,0.501781110839423,False,1.9313314259052277,0.01599878416611598,0.029317312508677168,4,13,4,0.3076923076923077,1.0,0.3076923076923077
rnbqkb1r/pppp2pp/4pp1n/8/6P1/2N2N2/PPPPPP1P/R1BQKB1R w KQkq - 0 4,34,22,2,10,0.6470588235294118,0.058823529411764705,0.29411764705882354,0.35294117647058826,0.8166089965397924,1.1660870601063933,0.04919157793219642,0.6566907750089801,0.6074991970767837,False,1.0676485300064087,0.012325808734578244,0.01168395024640001,2,34,2,0.058823529411764705,1.0,0.058823529411764705
rnbqk2r/pppp2pp/4pp1n/8/1b1P2P1/2N2N2/PPP1PP1P/R1BQKB1R w KQkq - 1 5,22,14,2,6,0.6363636363636364,0.09090909090909091,0.2727272727272727,0.36363636363636365,0.7768595041322314,1.2406705316766884,-0.004668956505698096,0.7319416837784254,0.7366106402841235,True,,0.01999610112133351,,0,22,0,0.0,1.0,0.0
rnbq1knr/ppNp3p/2p1ppp1/8/1b1P4/2P1P3/PP3PPP/RNBQKB1R b KQ - 0 7,16,9,2,5,0.5625,0.125,0.3125,0.25,0.8125,1.3663146570363986,-0.19167191527011712,0.6916719152701172,0.8833438305402344,True,,0.034071881673298776,,0,16,0,0.0,1.0,0.0
rn1qkb1r/ppp1p1pp/5p1n/3p4/3P4/2N2P2/PPP1P2P/R1BQKB1R b KQkq - 0 5,20,10,2,8,0.5,0.1,0.4,0.09999999999999998,0.89,1.360964047443681,-0.3134548554810895,0.5134548554810894,0.8269097109621788,True,,0.023638909682631493,,0,20,0,0.0,1.0,0.0
rnbqkbnr/pppp1ppp/8/4p3/8/4PN2/PPPP1PPP/RNBQKB1R b KQkq - 0 2,50,23,7,20,0.46,0.14,0.4,0.06,0.8564,1.4412167629454893,-0.19650829748928006,0.31650829748928005,0.5130165949785601,True,1.6408448972200091,0.013582511637359858,0.022004555712688754,38,50,38,0.76,1.0,0.76
rnbqkbnr/pppp2pp/8/4ppN1/8/4P3/PPPP1PPP/RNBQKB1R b KQkq - 1 3,28,15,6,7,0.5357142857142857,0.21428571428571427,0.25,0.2857142857142857,0.7040816326530612,1.458618550884106,-0.02508540852185631,0.5965139799504278,0.6215993884722841,True,2.099051316579183,0.011315613785492522,0.022292206088236528,6,28,6,0.21428571428571427,1.0,0.21428571428571427
rnbqkbnr/pp1p3p/2p1ppp1/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 0 5,11,7,1,3,0.6363636363636364,0.09090909090909091,0.2727272727272727,0.36363636363636365,0.7768595041322314,1.2406705316766884,-0.15722601520270474,0.884498742475432,1.0417247576781368,True,2.139219284057617,0.007547963622280143,0.018342097644155255,7,11,7,0.6363636363636364,1.0,0.6363636363636364
rnbq1knr/ppNp2pp/2p1pp2/8/1b1P4/2P2N2/PP2PPPP/R1BQKB1R b KQ - 0 6,16,9,3,4,0.5625,0.1875,0.25,0.3125,0.71484375,1.4197367178034825,-0.10177970841386003,0.7267797084138601,0.8285594168277202,True,1.5510772466659546,0.02650928671937436,0.03451118325013747,2,16,2,0.125,1.0,0.125
rnbqkb1r/pppp2pp/4pp1n/8/3P2P1/2N2N2/PPP1PP1P/R1BQKB1R b KQkq - 0 4,13,6,1,6,0.46153846153846156,0.07692307692307693,0.46153846153846156,0.0,0.9230769230769231,1.3143204867061788,-0.5222703388043869,0.5222703388043869,1.0445406776087738,True,1.6997218132019043,0.02201147750020027,0.05093322828739755,1,13,1,0.07692307692307693,1.0,0.07692307692307693
rnbqkb1r/pp2p1pp/2p2p1n/3pN3/3P2P1/2N5/PPP1PP1P/R1BQKB1R b KQkq - 1 5,15,8,1,6,0.5333333333333333,0.06666666666666667,0.4,0.1333333333333333,0.9155555555555556,1.272905595320056,-0.3508889960928921,0.6175556627595586,0.9684446588524507,True,1.2909976243972778,0.03522566432754199,0.03595759531308218,1,15,1,0.06666666666666667,1.0,0.06666666666666667
